stop_id,stop_name,stop_lat,stop_lon,category,route_id,isOKU,status,search,isConnecting,isLoop
GOKL0101,KLCC,3.1593,101.7138,GOKL,GOKL01,true,valid,GOKL KLCC,true,false
GOKL0102,Wisma BSN,3.1585,101.7108,GOKL,GOKL01,true,valid,GOKL Wisma BSN,false,false
GOKL0103,MATIC,3.1574,101.7051,GOKL,GOKL01,true,valid,GOKL MATIC,false,false
GOKL0104,Hotel Renaissance,3.1573,101.7042,GOKL,GOKL01,true,valid,GOKL Hotel Renaissance,false,false
GOKL0105,Hotel Concorde,3.1554,101.7039,GOKL,GOKL01,true,valid,GOKL Hotel Concorde,true,false
GOKL0106,Life Centre,3.1534,101.7073,GOKL,GOKL01,true,valid,GOKL Life Centre,true,false
GOKL0107,Wisma Cosway,3.1507,101.7121,GOKL,GOKL01,true,valid,GOKL Wisma Cosway,true,false
GOKL0108,Pavilion,3.1488,101.7133,GOKL,GOKL01,true,valid,GOKL Pavilion,true,false
GOKL0109,Bukit Bintang,3.1471,101.7105,GOKL,GOKL01,true,valid,GOKL Bukit Bintang,true,false
GOKL0110,Raja Chulan Monorail Station,3.1508,101.7099,GOKL,GOKL01,true,valid,GOKL Raja Chulan Monorail Station,false,false
GOKL0111,Wisma Rohas Perkasa,3.1551,101.7101,GOKL,GOKL01,true,valid,GOKL Wisma Rohas Perkasa,false,false
GOKL0112,Hotel Grand Hyatt,3.1542,101.7123,GOKL,GOKL01,true,valid,GOKL Hotel Grand Hyatt,false,false
GOKL0113,Exxon Mobil,3.1565,101.7153,GOKL,GOKL01,true,valid,GOKL Exxon Mobil,false,false
GOKL0114,Citibank,3.1591,101.7171,GOKL,GOKL01,true,valid,GOKL Citibank,false,false
GOKL0115,Wisma Atlan,3.1601,101.7161,GOKL,GOKL01,true,valid,GOKL Wisma Atlan,false,true
GOKL0201,Pasar Seni Hub,3.1425,101.6965,GOKL,GOKL02,true,valid,GOKL Pasar Seni Hub,true,false
GOKL0202,Bangkok Bank,3.1478,101.6971,GOKL,GOKL02,true,valid,GOKL Bangkok Bank,false,false
GOKL0203,Telekom Museum,3.1486,101.6997,GOKL,GOKL02,true,valid,GOKL Telekom Museum,false,false
GOKL0204,Olympia Tower,3.1495,101.7018,GOKL,GOKL02,true,valid,GOKL Olympia Tower,false,false
GOKL0205,Kuala Lumpur Tower,3.1524,101.7035,GOKL,GOKL02,true,valid,GOKL Kuala Lumpur Tower,false,false
GOKL0206,The Weld,3.1505,101.7061,GOKL,GOKL02,true,valid,GOKL The Weld,false,false
GOKL0207,Wisma Foo Yong,3.1501,101.7094,GOKL,GOKL02,true,valid,GOKL Wisma Foo Yong,false,false
GOKL0208,Wisma Cosway,3.1507,101.7121,GOKL,GOKL02,true,valid,GOKL Wisma Cosway,true,false
GOKL0209,Pavilion,3.1488,101.7133,GOKL,GOKL02,true,valid,GOKL Pavilion,true,false
GOKL0210,Bukit Bintang,3.1471,101.7105,GOKL,GOKL02,true,valid,GOKL Bukit Bintang,true,false
GOKL0211,Wisma Boustead,3.1503,101.7058,GOKL,GOKL02,true,valid,GOKL Wisma Boustead,true,false
GOKL0212,Wisma MPL,3.1499,101.7046,GOKL,GOKL02,true,valid,GOKL Wisma MPL,false,false
GOKL0213,Wisma Budiman,3.1492,101.7019,GOKL,GOKL02,true,valid,GOKL Wisma Budiman,false,false
GOKL0214,Kota Raya,3.1449,101.6983,GOKL,GOKL02,true,valid,GOKL Kota Raya,false,true
GOKL0301,Titiwangsa Hub,3.1737,101.6952,GOKL,GOKL03,true,valid,GOKL Titiwangsa Hub,true,false
GOKL0302,Hospital Damai,3.1678,101.6963,GOKL,GOKL03,true,valid,GOKL Hospital Damai,true,false
GOKL0303,Chow Kit Monorail Station,3.1666,101.6983,GOKL,GOKL03,true,valid,GOKL Chow Kit Monorail Station,true,false
GOKL0304,Chow Kit Market,3.1643,101.6989,GOKL,GOKL03,true,valid,GOKL Chow Kit Market,true,false
GOKL0305,Sri Amar,3.1598,101.6977,GOKL,GOKL03,true,valid,GOKL Sri Amar,false,false
GOKL0306,Pertama Complex,3.1568,101.6963,GOKL,GOKL03,true,valid,GOKL Pertama Complex,false,false
GOKL0307,Globe,3.1543,101.6964,GOKL,GOKL03,true,valid,GOKL Globe,false,false
GOKL0308,Coliseum,3.1531,101.6962,GOKL,GOKL03,true,valid,GOKL Coliseum,false,false
GOKL0309,Independence Square,3.1485,101.6938,GOKL,GOKL03,true,valid,GOKL Independence Square,false,false
GOKL0310,Dayabumi,3.1454,101.6942,GOKL,GOKL03,true,valid,GOKL Dayabumi,false,false
GOKL0311,KTM Kuala Lumpur,3.1396,101.6936,GOKL,GOKL03,true,valid,GOKL KTM Kuala Lumpur,false,false
GOKL0312,KL Sentral,3.1342,101.6865,GOKL,GOKL03,true,valid,GOKL KL Sentral,false,false
GOKL0313,Plaza 1Sentral,3.1328,101.6853,GOKL,GOKL03,true,valid,GOKL Plaza 1Sentral,false,false
GOKL0314,National Museum,3.1378,101.6882,GOKL,GOKL03,true,valid,GOKL National Museum,false,false
